Genesis,Genesis,1 Mose,Genèse ,Génesis,
Exodus,Exodus,2 Mose,Exode ,Éxodo,
Leviticus,Levitikus,3 Mose,Lévitique ,Levítico,
Numbers,Numeri,4 Mose,Nombres ,Números,
Deuteronomy,Deuteronomium,5 Mose,Deutéronome ,Deuteronomio,
Joshua,Josua,,Josué ,Josué,
Judges,Richter,,Juges ,Jueces,
Ruth,Rut,,Ruth,Rut,
1 Samuel,1 Samuel,,1 Samuel,1 Samuel,
2 Samuel,2 Samuel,,2 Samuel,2 Samuel,
1 Kings,1 Könige,,1 Rois ,1 Reyes,
2 Kings,2 Könige,,2 Rois ,2 Reyes,
1 Chronicles,1 Chronik,,1 Chroniques ,1 Crónicas,
1 Chronicles,2 Chronik,,2 Chroniques ,2 Crónicas,
Ezra,Esra,,Esdras ,Esdras,
Nehemiah,Nehemia,,Néhémie ,Nehemías,
Esther,Ester,,Esther,Ester,
Job,Ijob,Hiob,Job,Job,
Psalms,Psalmen,,Psaumes ,Salmos,
Proverbs,Sprichwörter,Sprüche,Proverbes ,Proverbios,
Ecclesiastes,Prediger,Kohelet,Ecclésiaste ,Eclesiastés,
Song of Songs,Hoheslied,,Cantique des Cantiques ,Cantar de los Cantares,
Isaiah,Jesaja,,Ésaïe ,Isaías,
Jeremiah,Jeremia,,Jérémie ,Jeremías,
Lamentations,Klagelieder,Threni,Lamentations,Lamentaciones,
Ezekiel,Ezechiel,Hesekiel,Ézéchiel ,Ezequiel,
Daniel,Daniel,,Daniel,Daniel,
Hosea,Hosea,,Osée ,Oseas,
Joel,Joel,,Joël ,Joel,
Amos,Amos,,Amos,Amós,
Obadiah,Obadja,,Abdias ,Abdías,
Jonah,Jona,,Jonas ,Jonás,
Micah,Micha,,Michée ,Miqueas,
Nahum,Nahum,,Nahum,Nahún,
Habakkuk,Habakuk,,Habacuc ,Habacuc,
Zephaniah,Zefanja,,Sophonie ,Sofonías,
Haggai,Haggai,,Aggée ,Ageo,
Zechariah,Sacharja,,Zacharie ,Zacarías,
Malachi,Maleachi,,Malachie ,Malaquías,
1 Esdras,1 Esra,,,,
2 Esdras,2 Esra,,,,
Tobit,Tobias,,Tobie,Tobías,
Judith,Judit,,,Judit,
The Wisdom of Solomon,Weisheit,,,Sabiduría,
Ecclesiasticus,Sirach,Siracide,Ecclésiastique,Sirácides,Eclesiástico
Baruch,Baruch,,,Baruc,
Letter of Jeremiah,Epistel Jeremias,EpistJer,,,
1 Maccabees,1 Makkabäer,,1 Macchabées,1 Macabeos,
2 Maccabees,2 Makkabäer,,2 Macchabées,2 Macabeos,
3 Maccabees,3 Makkabäer,,3 Macchabées,,
4 Maccabees,4 Makkabäer,,4 Macchabées,,
Jubilees,Buch der Jubiliäen,Jub,,,
Psalms of Solomon,Psalmen Salomos,PsSal,,,
Enoch,Henoch,,,,
Matthew,Matthäus,,Matthieu ,Mateo,
Mark,Markus,,Marc ,Marcos,
Luke,Lukas,,Luc ,Lucas,
John,Johannes,,Jean ,Juan,
Acts of the Apostles,Apostelgeschichte,,Actes ,Hechos de los Apóstoles,
Romans,Römer,,Romains ,Romanos,
1 Corinthians,1 Korinther,,1 Corinthiens ,1 Corintios,
2 Corinthians,2 Korinther,,2 Corinthiens ,2 Corintios,
Galatians,Galater,,Galates ,Gálatas,
Ephesians,Epheser,,Éphésiens ,Efesios,
Philippians,Philipper,,Philippiens ,Filipenses,
Colossians,Kolosser,,Colossiens ,Colosenses,
1 Thessalonians,1 Thessalonicher,,1 Thessaloniciens ,1 Tesalonicenses,
2 Thessalonians,2 Thessalonicher,,2 Thessaloniciens ,2 Tesalonicenses,
1 Timothy,1 Timotheus,,1 Timothée ,1 Timoteo,
2 Timothy,2 Timotheus,,2 Timothée ,2 Timoteo,
Titus,Titus,,Tite ,Tito,
Philemon,Philemon,,Philémon ,Filemón,
Hebrews,Hebräer,,Hébreux ,Hebreos,
James,Jakobus,,Jacques ,Santiago,
1 Peter,1 Petrus,,1 Pierre ,1 Pedro,
2 Peter,2 Petrus,,2 Pierre ,2 Pedro,
1 John,1 Johannes,,1 Jean ,1 Juan,
2 John,2 Johannes,,2 Jean ,2 Juan,
3 John,3 Johannes,,3 Jean ,3 Juan,
Jude,Judas,,Jude,Judas,
Revelation,Offenbarung,,Apocalypse ,Apocalipsis ,
